Energy Use Record Name,Carbon Footprint Name,Record Type,Traveler Full Name,Report Start Date,Carbon Inventory Date,Segment Distance,Emission Factors - Scope 3,Organization Asset,Vendor Name,Cost Center
AT-FY21-AMER-1012,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",1/13/20,4/15/21,926.6,Air Travel Factors,Business Travel FY21 - LATAM,Delta Airlines,General COO
AT-FY21-AMER-1013,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",1/14/20,4/15/21,938.8,Air Travel Factors,Business Travel FY21 - LATAM,British Airways,General COO
AT-FY21-AMER-1014,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",1/15/20,4/15/21,951,Air Travel Factors,Business Travel FY21 - ME,KLM,EMEA Sales
AT-FY21-AMER-1015,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",1/16/20,4/15/21,963.2,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,AMER Sales 
AT-FY21-AMER-1016,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",1/18/20,4/15/21,975.4,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,EMEA Operations
AT-FY21-AMER-1017,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",1/19/20,4/15/21,987.6,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,Product Marketing
AT-FY21-AMER-1018,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",1/20/20,4/15/21,999.8,Air Travel Factors,Business Travel FY21 - LATAM,Delta Airlines,LATAM Sales
AT-FY21-AMER-1019,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",1/20/20,4/15/21,1012,Air Travel Factors,Business Travel FY21 - LATAM,Delta Airlines,General COO
AT-FY21-AMER-1020,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",1/21/20,4/15/21,1024.2,Air Travel Factors,Business Travel FY21 - ME,British Airways,General COO
AT-FY21-AMER-1021,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",1/22/20,4/15/21,1036.4,Air Travel Factors,Business Travel FY21 - AMER,KLM,EMEA Sales
AT-FY21-AMER-1022,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",1/23/20,4/15/21,1048.6,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,AMER Sales 
AT-FY21-AMER-1023,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",1/24/20,4/15/21,1060.8,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,EMEA Operations
AT-FY21-AMER-1024,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",1/25/20,4/15/21,1073,Air Travel Factors,Business Travel FY21 - LATAM,United Airlines,Product Marketing
AT-FY21-AMER-1025,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",1/26/20,4/15/21,1085.2,Air Travel Factors,Business Travel FY21 - LATAM,Delta Airlines,LATAM Sales
AT-FY21-AMER-1026,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",1/27/20,4/15/21,1097.4,Air Travel Factors,Business Travel FY21 - ME,Delta Airlines,General COO
AT-FY21-AMER-1027,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",1/28/20,4/15/21,1109.6,Air Travel Factors,Business Travel FY21 - AMER,British Airways,General COO
AT-FY21-AMER-1028,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",1/29/20,4/15/21,1121.8,Air Travel Factors,Business Travel FY21 - AMER,KLM,EMEA Sales
AT-FY21-AMER-1029,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",1/30/20,4/15/21,1134,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,AMER Sales 
AT-FY21-AMER-1030,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",1/31/20,4/15/21,1146.2,Air Travel Factors,Business Travel FY21 - LATAM,United Airlines,EMEA Operations
AT-FY21-AMER-1031,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",2/1/20,4/15/21,1158.4,Air Travel Factors,Business Travel FY21 - LATAM,United Airlines,Product Marketing
AT-FY21-AMER-1032,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",2/2/20,4/15/21,1170.6,Air Travel Factors,Business Travel FY21 - ME,Delta Airlines,LATAM Sales
AT-FY21-AMER-1033,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",2/3/20,4/15/21,1182.8,Air Travel Factors,Business Travel FY21 - AMER,Delta Airlines,General COO
AT-FY21-AMER-1034,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",2/4/20,4/15/21,1195,Air Travel Factors,Business Travel FY21 - AMER,British Airways,General COO
AT-FY21-AMER-1035,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",2/5/20,4/15/21,1207.2,Air Travel Factors,Business Travel FY21 - AMER,KLM,EMEA Sales
AT-FY21-AMER-1036,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",2/6/20,4/15/21,1219.4,Air Travel Factors,Business Travel FY21 - LATAM,United Airlines,AMER Sales 
AT-FY21-AMER-1037,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",2/7/20,4/15/21,1231.6,Air Travel Factors,Business Travel FY21 - LATAM,United Airlines,EMEA Operations
AT-FY21-AMER-1038,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",2/8/20,4/15/21,1243.8,Air Travel Factors,Business Travel FY21 - ME,United Airlines,Product Marketing
AT-FY21-AMER-1039,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",2/9/20,4/15/21,1256,Air Travel Factors,Business Travel FY21 - AMER,Delta Airlines,LATAM Sales
AT-FY21-AMER-1040,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",2/10/20,4/15/21,1268.2,Air Travel Factors,Business Travel FY21 - AMER,Delta Airlines,General COO
AT-FY21-AMER-1041,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",2/11/20,4/15/21,1280.4,Air Travel Factors,Business Travel FY21 - AMER,British Airways,General COO
AT-FY21-AMER-1042,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",2/12/20,4/15/21,1292.6,Air Travel Factors,Business Travel FY21 - LATAM,KLM,EMEA Sales
AT-FY21-AMER-1043,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",2/13/20,4/15/21,1304.8,Air Travel Factors,Business Travel FY21 - LATAM,United Airlines,AMER Sales 
AT-FY21-AMER-1044,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",2/14/20,4/15/21,1317,Air Travel Factors,Business Travel FY21 - ME,United Airlines,EMEA Operations
AT-FY21-AMER-1045,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",2/15/20,4/15/21,1329.2,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,Product Marketing
AT-FY21-AMER-1046,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",2/16/20,4/15/21,1341.4,Air Travel Factors,Business Travel FY21 - AMER,Delta Airlines,LATAM Sales
AT-FY21-AMER-1047,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",2/18/20,4/15/21,1353.6,Air Travel Factors,Business Travel FY21 - AMER,Delta Airlines,General COO
AT-FY21-AMER-1048,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",2/19/20,4/15/21,1365.8,Air Travel Factors,Business Travel FY21 - LATAM,British Airways,General COO
AT-FY21-AMER-1049,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",2/20/20,4/15/21,1378,Air Travel Factors,Business Travel FY21 - LATAM,KLM,EMEA Sales
AT-FY21-AMER-1050,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",2/20/20,4/15/21,1390.2,Air Travel Factors,Business Travel FY21 - ME,United Airlines,AMER Sales 
AT-FY21-AMER-1051,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",2/21/20,4/15/21,1402.4,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,EMEA Operations
AT-FY21-AMER-1052,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",2/22/20,4/15/21,1414.6,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,Product Marketing
AT-FY21-AMER-1053,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",2/23/20,4/15/21,1426.8,Air Travel Factors,Business Travel FY21 - AMER,Delta Airlines,LATAM Sales
AT-FY21-AMER-1054,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",2/24/20,4/15/21,1439,Air Travel Factors,Business Travel FY21 - LATAM,Delta Airlines,General COO
AT-FY21-AMER-1055,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",2/25/20,4/15/21,1451.2,Air Travel Factors,Business Travel FY21 - LATAM,British Airways,General COO
AT-FY21-AMER-1056,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",2/26/20,4/15/21,1463.4,Air Travel Factors,Business Travel FY21 - ME,KLM,EMEA Sales
AT-FY21-AMER-1057,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",2/27/20,4/15/21,1475.6,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,AMER Sales 
AT-FY21-AMER-1058,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",2/28/20,4/15/21,1487.8,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,EMEA Operations
AT-FY21-AMER-1059,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",3/1/20,4/15/21,1500,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,Product Marketing
AT-FY21-AMER-1060,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",3/2/20,4/15/21,1512.2,Air Travel Factors,Business Travel FY21 - LATAM,Delta Airlines,LATAM Sales
AT-FY21-AMER-1061,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",3/3/20,4/15/21,1524.4,Air Travel Factors,Business Travel FY21 - LATAM,Delta Airlines,General COO
AT-FY21-AMER-1062,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",3/4/20,4/15/21,1536.6,Air Travel Factors,Business Travel FY21 - ME,British Airways,General COO
AT-FY21-AMER-1063,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",3/5/20,4/15/21,1548.8,Air Travel Factors,Business Travel FY21 - AMER,KLM,EMEA Sales
AT-FY21-AMER-1064,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",3/6/20,4/15/21,1561,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,AMER Sales 
AT-FY21-AMER-1065,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",3/7/20,4/15/21,1573.2,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,EMEA Operations
AT-FY21-AMER-1066,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",3/8/20,4/15/21,1585.4,Air Travel Factors,Business Travel FY21 - LATAM,United Airlines,Product Marketing
AT-FY21-AMER-1067,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",3/9/20,4/15/21,1597.6,Air Travel Factors,Business Travel FY21 - LATAM,Delta Airlines,LATAM Sales
AT-FY21-AMER-1068,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",3/10/20,4/15/21,1609.8,Air Travel Factors,Business Travel FY21 - ME,Delta Airlines,General COO
AT-FY21-AMER-1069,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",3/11/20,4/15/21,1622,Air Travel Factors,Business Travel FY21 - AMER,British Airways,General COO
AT-FY21-AMER-1070,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",3/12/20,4/15/21,1634.2,Air Travel Factors,Business Travel FY21 - AMER,KLM,EMEA Sales
AT-FY21-AMER-1071,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",3/13/20,4/15/21,1646.4,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,AMER Sales 
AT-FY21-AMER-1072,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",3/14/20,4/15/21,1658.6,Air Travel Factors,Business Travel FY21 - LATAM,United Airlines,EMEA Operations
AT-FY21-AMER-1073,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",3/15/20,4/15/21,1670.8,Air Travel Factors,Business Travel FY21 - LATAM,United Airlines,Product Marketing
AT-FY21-AMER-1074,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",3/16/20,4/15/21,1683,Air Travel Factors,Business Travel FY21 - ME,Delta Airlines,LATAM Sales
AT-FY21-AMER-1075,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",3/18/20,4/15/21,1695.2,Air Travel Factors,Business Travel FY21 - AMER,Delta Airlines,General COO
AT-FY21-AMER-1076,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",3/19/20,4/15/21,1707.4,Air Travel Factors,Business Travel FY21 - AMER,British Airways,General COO
AT-FY21-AMER-1077,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",3/20/20,4/15/21,1719.6,Air Travel Factors,Business Travel FY21 - AMER,KLM,EMEA Sales
AT-FY21-AMER-1078,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",3/20/20,4/15/21,1731.8,Air Travel Factors,Business Travel FY21 - LATAM,United Airlines,AMER Sales 
AT-FY21-AMER-1079,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",3/21/20,4/15/21,1744,Air Travel Factors,Business Travel FY21 - LATAM,United Airlines,EMEA Operations
AT-FY21-AMER-1080,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",3/22/20,4/15/21,1756.2,Air Travel Factors,Business Travel FY21 - ME,United Airlines,Product Marketing
AT-FY21-AMER-1081,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",3/23/20,4/15/21,1768.4,Air Travel Factors,Business Travel FY21 - AMER,Delta Airlines,LATAM Sales
AT-FY21-AMER-1082,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",3/24/20,4/15/21,1780.6,Air Travel Factors,Business Travel FY21 - AMER,Delta Airlines,General COO
AT-FY21-AMER-1083,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",3/25/20,4/15/21,1792.8,Air Travel Factors,Business Travel FY21 - AMER,British Airways,General COO
AT-FY21-AMER-1084,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",3/26/20,4/15/21,1805,Air Travel Factors,Business Travel FY21 - LATAM,KLM,EMEA Sales
AT-FY21-AMER-1085,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",3/27/20,4/15/21,1817.2,Air Travel Factors,Business Travel FY21 - LATAM,United Airlines,AMER Sales 
AT-FY21-AMER-1086,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",3/28/20,4/15/21,1829.4,Air Travel Factors,Business Travel FY21 - ME,United Airlines,EMEA Operations
AT-FY21-AMER-1087,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",3/29/20,4/15/21,1841.6,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,Product Marketing
AT-FY21-AMER-1088,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",3/30/20,4/15/21,1853.8,Air Travel Factors,Business Travel FY21 - AMER,Delta Airlines,LATAM Sales
AT-FY21-AMER-1089,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",3/31/20,4/15/21,1866,Air Travel Factors,Business Travel FY21 - AMER,Delta Airlines,General COO
AT-FY21-AMER-1090,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",4/1/20,4/15/21,1878.2,Air Travel Factors,Business Travel FY21 - LATAM,British Airways,General COO
AT-FY21-AMER-1091,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",4/2/20,4/15/21,1890.4,Air Travel Factors,Business Travel FY21 - LATAM,KLM,EMEA Sales
AT-FY21-AMER-1092,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",4/3/20,4/15/21,1902.6,Air Travel Factors,Business Travel FY21 - ME,United Airlines,AMER Sales 
AT-FY21-AMER-1093,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",4/4/20,4/15/21,1914.8,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,EMEA Operations
AT-FY21-AMER-1094,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",4/5/20,4/15/21,1927,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,Product Marketing
AT-FY21-AMER-1095,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",4/6/20,4/15/21,1939.2,Air Travel Factors,Business Travel FY21 - AMER,Delta Airlines,LATAM Sales
AT-FY21-AMER-1096,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",4/7/20,4/15/21,1951.4,Air Travel Factors,Business Travel FY21 - LATAM,Delta Airlines,General COO
AT-FY21-AMER-1097,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",4/8/20,4/15/21,1963.6,Air Travel Factors,Business Travel FY21 - LATAM,British Airways,General COO
AT-FY21-AMER-1098,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",4/9/20,4/15/21,1975.8,Air Travel Factors,Business Travel FY21 - ME,KLM,EMEA Sales
AT-FY21-AMER-1099,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",4/10/20,4/15/21,1988,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,AMER Sales 
AT-FY21-AMER-1100,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",4/11/20,4/15/21,2000.2,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,EMEA Operations
AT-FY21-AMER-1101,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",4/12/20,4/15/21,2012.4,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,Product Marketing
AT-FY21-AMER-1102,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",4/13/20,4/15/21,2024.6,Air Travel Factors,Business Travel FY21 - LATAM,Delta Airlines,LATAM Sales
AT-FY21-AMER-1103,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",4/14/20,4/15/21,2036.8,Air Travel Factors,Business Travel FY21 - LATAM,Delta Airlines,General COO
AT-FY21-AMER-1104,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",4/15/20,4/15/21,2049,Air Travel Factors,Business Travel FY21 - ME,British Airways,General COO
AT-FY21-AMER-1105,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",4/16/20,4/15/21,2061.2,Air Travel Factors,Business Travel FY21 - AMER,KLM,EMEA Sales
AT-FY21-AMER-1106,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",4/18/20,4/15/21,2073.4,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,AMER Sales 
AT-FY21-AMER-1107,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",4/19/20,4/15/21,2085.6,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,EMEA Operations
AT-FY21-AMER-1108,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",4/20/20,4/15/21,2097.8,Air Travel Factors,Business Travel FY21 - LATAM,United Airlines,Product Marketing
AT-FY21-AMER-1109,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",4/20/20,4/15/21,2110,Air Travel Factors,Business Travel FY21 - LATAM,Delta Airlines,LATAM Sales
AT-FY21-AMER-1110,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",4/21/20,4/15/21,2122.2,Air Travel Factors,Business Travel FY21 - ME,Delta Airlines,General COO
AT-FY21-AMER-1111,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",4/22/20,4/15/21,2134.4,Air Travel Factors,Business Travel FY21 - AMER,British Airways,General COO
AT-FY21-AMER-1112,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",4/23/20,4/15/21,2146.6,Air Travel Factors,Business Travel FY21 - AMER,KLM,EMEA Sales
AT-FY21-AMER-1113,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",4/24/20,4/15/21,2158.8,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,AMER Sales 
AT-FY21-AMER-1114,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",4/25/20,4/15/21,2171,Air Travel Factors,Business Travel FY21 - LATAM,United Airlines,EMEA Operations
AT-FY21-AMER-1115,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",4/26/20,4/15/21,2183.2,Air Travel Factors,Business Travel FY21 - LATAM,United Airlines,Product Marketing
AT-FY21-AMER-1116,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",4/27/20,4/15/21,2195.4,Air Travel Factors,Business Travel FY21 - ME,Delta Airlines,LATAM Sales
AT-FY21-AMER-1117,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",4/28/20,4/15/21,2207.6,Air Travel Factors,Business Travel FY21 - AMER,Delta Airlines,General COO
AT-FY21-AMER-1118,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",4/29/20,4/15/21,2219.8,Air Travel Factors,Business Travel FY21 - AMER,British Airways,General COO
AT-FY21-AMER-1119,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",4/30/20,4/15/21,2232,Air Travel Factors,Business Travel FY21 - AMER,KLM,EMEA Sales
AT-FY21-AMER-1120,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",5/1/20,4/15/21,2244.2,Air Travel Factors,Business Travel FY21 - LATAM,United Airlines,AMER Sales 
AT-FY21-AMER-1121,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",5/2/20,4/15/21,2256.4,Air Travel Factors,Business Travel FY21 - LATAM,United Airlines,EMEA Operations
AT-FY21-AMER-1122,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",5/3/20,4/15/21,2268.6,Air Travel Factors,Business Travel FY21 - ME,United Airlines,Product Marketing
AT-FY21-AMER-1123,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",5/4/20,4/15/21,2280.8,Air Travel Factors,Business Travel FY21 - AMER,Delta Airlines,LATAM Sales
AT-FY21-AMER-1124,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",5/5/20,4/15/21,2293,Air Travel Factors,Business Travel FY21 - AMER,Delta Airlines,General COO
AT-FY21-AMER-1125,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",5/6/20,4/15/21,2305.2,Air Travel Factors,Business Travel FY21 - AMER,British Airways,General COO
AT-FY21-AMER-1126,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",5/7/20,4/15/21,2317.4,Air Travel Factors,Business Travel FY21 - LATAM,KLM,EMEA Sales
AT-FY21-AMER-1127,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",5/8/20,4/15/21,2329.6,Air Travel Factors,Business Travel FY21 - LATAM,United Airlines,AMER Sales 
AT-FY21-AMER-1128,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",5/9/20,4/15/21,2341.8,Air Travel Factors,Business Travel FY21 - ME,United Airlines,EMEA Operations
AT-FY21-AMER-1129,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",5/10/20,4/15/21,2354,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,Product Marketing
AT-FY21-AMER-1130,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",5/11/20,4/15/21,2366.2,Air Travel Factors,Business Travel FY21 - AMER,Delta Airlines,LATAM Sales
AT-FY21-AMER-1131,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",5/12/20,4/15/21,2378.4,Air Travel Factors,Business Travel FY21 - AMER,Delta Airlines,General COO
AT-FY21-AMER-1132,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",5/13/20,4/15/21,2390.6,Air Travel Factors,Business Travel FY21 - LATAM,British Airways,General COO
AT-FY21-AMER-1133,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",5/14/20,4/15/21,2402.8,Air Travel Factors,Business Travel FY21 - LATAM,KLM,EMEA Sales
AT-FY21-AMER-1134,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",5/15/20,4/15/21,2415,Air Travel Factors,Business Travel FY21 - ME,United Airlines,AMER Sales 
AT-FY21-AMER-1135,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",5/16/20,4/15/21,2427.2,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,EMEA Operations
AT-FY21-AMER-1136,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",5/18/20,4/15/21,2439.4,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,Product Marketing
AT-FY21-AMER-1137,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",5/19/20,4/15/21,2451.6,Air Travel Factors,Business Travel FY21 - AMER,Delta Airlines,LATAM Sales
AT-FY21-AMER-1138,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",5/20/20,4/15/21,2463.8,Air Travel Factors,Business Travel FY21 - LATAM,Delta Airlines,General COO
AT-FY21-AMER-1139,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",5/20/20,4/15/21,2476,Air Travel Factors,Business Travel FY21 - LATAM,British Airways,General COO
AT-FY21-AMER-1140,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",5/21/20,4/15/21,2488.2,Air Travel Factors,Business Travel FY21 - ME,KLM,EMEA Sales
AT-FY21-AMER-1141,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",5/22/20,4/15/21,2500.4,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,AMER Sales 
AT-FY21-AMER-1142,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",5/23/20,4/15/21,2512.6,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,EMEA Operations
AT-FY21-AMER-1143,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",5/24/20,4/15/21,2524.8,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,Product Marketing
