Energy Use Record Name,Carbon Footprint Name,Record Type,Traveler Full Name,Report Start Date,Carbon Inventory Date,Segment Distance (Miles),Emission Factors - Scope 3,Organization Asset,Vendor Name,Cost Center
AT-FY20-AMER-1022,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/23/19,4/15/20,1048.6,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,AMER Sales 
AT-FY20-AMER-1023,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/24/19,4/15/20,1060.8,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,EMEA Operations
AT-FY20-AMER-1024,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/25/19,4/15/20,1073,Scope 3 Travel Factors,Business Travel FY20 - LATAM,United Airlines,Product Marketing
AT-FY20-AMER-1025,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/26/19,4/15/20,1085.2,Scope 3 Travel Factors,Business Travel FY20 - LATAM,Delta Airlines,LATAM Sales
AT-FY20-AMER-1026,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/27/19,4/15/20,1097.4,Scope 3 Travel Factors,Business Travel FY20 - ME,Delta Airlines,General COO
AT-FY20-AMER-1027,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/28/19,4/15/20,1109.6,Scope 3 Travel Factors,Business Travel FY20 - AMER,British Airways,General COO
AT-FY20-AMER-1028,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/29/19,4/15/20,1121.8,Scope 3 Travel Factors,Business Travel FY20 - AMER,KLM,EMEA Sales
AT-FY20-AMER-1029,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/30/19,4/15/20,1134,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,AMER Sales 
AT-FY20-AMER-1030,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/31/19,4/15/20,1146.2,Scope 3 Travel Factors,Business Travel FY20 - LATAM,United Airlines,EMEA Operations
AT-FY20-AMER-1031,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/1/19,4/15/20,1158.4,Scope 3 Travel Factors,Business Travel FY20 - LATAM,United Airlines,Product Marketing
AT-FY20-AMER-1032,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/2/19,4/15/20,1170.6,Scope 3 Travel Factors,Business Travel FY20 - ME,Delta Airlines,LATAM Sales
AT-FY20-AMER-1033,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/3/19,4/15/20,1182.8,Scope 3 Travel Factors,Business Travel FY20 - AMER,Delta Airlines,General COO
AT-FY20-AMER-1034,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/4/19,4/15/20,1195,Scope 3 Travel Factors,Business Travel FY20 - AMER,British Airways,General COO
AT-FY20-AMER-1035,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/5/19,4/15/20,1207.2,Scope 3 Travel Factors,Business Travel FY20 - AMER,KLM,EMEA Sales
AT-FY20-AMER-1036,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/6/19,4/15/20,1219.4,Scope 3 Travel Factors,Business Travel FY20 - LATAM,United Airlines,AMER Sales 
AT-FY20-AMER-1037,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/7/19,4/15/20,1231.6,Scope 3 Travel Factors,Business Travel FY20 - LATAM,United Airlines,EMEA Operations
AT-FY20-AMER-1038,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/8/19,4/15/20,1243.8,Scope 3 Travel Factors,Business Travel FY20 - ME,United Airlines,Product Marketing
AT-FY20-AMER-1039,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/9/19,4/15/20,1256,Scope 3 Travel Factors,Business Travel FY20 - AMER,Delta Airlines,LATAM Sales
AT-FY20-AMER-1040,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/10/19,4/15/20,1268.2,Scope 3 Travel Factors,Business Travel FY20 - AMER,Delta Airlines,General COO
AT-FY20-AMER-1041,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/11/19,4/15/20,1280.4,Scope 3 Travel Factors,Business Travel FY20 - AMER,British Airways,General COO
AT-FY20-AMER-1042,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/12/19,4/15/20,1292.6,Scope 3 Travel Factors,Business Travel FY20 - LATAM,KLM,EMEA Sales
AT-FY20-AMER-1043,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/13/19,4/15/20,1304.8,Scope 3 Travel Factors,Business Travel FY20 - LATAM,United Airlines,AMER Sales 
AT-FY20-AMER-1044,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/14/19,4/15/20,1317,Scope 3 Travel Factors,Business Travel FY20 - ME,United Airlines,EMEA Operations
AT-FY20-AMER-1045,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/15/19,4/15/20,1329.2,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,Product Marketing
AT-FY20-AMER-1046,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/16/19,4/15/20,1341.4,Scope 3 Travel Factors,Business Travel FY20 - AMER,Delta Airlines,LATAM Sales
AT-FY20-AMER-1047,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/17/19,4/15/20,1353.6,Scope 3 Travel Factors,Business Travel FY20 - AMER,Delta Airlines,General COO
AT-FY20-AMER-1048,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/18/19,4/15/20,1365.8,Scope 3 Travel Factors,Business Travel FY20 - LATAM,British Airways,General COO
AT-FY20-AMER-1049,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/19/19,4/15/20,1378,Scope 3 Travel Factors,Business Travel FY20 - LATAM,KLM,EMEA Sales
AT-FY20-AMER-1050,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/20/19,4/15/20,1390.2,Scope 3 Travel Factors,Business Travel FY20 - ME,United Airlines,AMER Sales 
AT-FY20-AMER-1051,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/21/19,4/15/20,1402.4,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,EMEA Operations
AT-FY20-AMER-1052,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/22/19,4/15/20,1414.6,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,Product Marketing
AT-FY20-AMER-1053,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/23/19,4/15/20,1426.8,Scope 3 Travel Factors,Business Travel FY20 - AMER,Delta Airlines,LATAM Sales
AT-FY20-AMER-1054,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/24/19,4/15/20,1439,Scope 3 Travel Factors,Business Travel FY20 - LATAM,Delta Airlines,General COO
AT-FY20-AMER-1055,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/25/19,4/15/20,1451.2,Scope 3 Travel Factors,Business Travel FY20 - LATAM,British Airways,General COO
AT-FY20-AMER-1056,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/26/19,4/15/20,1463.4,Scope 3 Travel Factors,Business Travel FY20 - ME,KLM,EMEA Sales
AT-FY20-AMER-1057,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/27/19,4/15/20,1475.6,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,AMER Sales 
AT-FY20-AMER-1058,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/28/19,4/15/20,1487.8,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,EMEA Operations
AT-FY20-AMER-1059,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",3/1/19,4/15/20,1500,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,Product Marketing
AT-FY20-AMER-1060,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",3/2/19,4/15/20,1512.2,Scope 3 Travel Factors,Business Travel FY20 - LATAM,Delta Airlines,LATAM Sales
AT-FY20-AMER-1061,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",3/3/19,4/15/20,1524.4,Scope 3 Travel Factors,Business Travel FY20 - LATAM,Delta Airlines,General COO
AT-FY20-AMER-1062,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",3/4/19,4/15/20,1536.6,Scope 3 Travel Factors,Business Travel FY20 - ME,British Airways,General COO
AT-FY20-AMER-1063,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",3/5/19,4/15/20,1548.8,Scope 3 Travel Factors,Business Travel FY20 - AMER,KLM,EMEA Sales
AT-FY20-AMER-1064,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",3/6/19,4/15/20,1561,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,AMER Sales 
AT-FY20-AMER-1065,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",3/7/19,4/15/20,1573.2,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,EMEA Operations
AT-FY20-AMER-1066,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",3/8/19,4/15/20,1585.4,Scope 3 Travel Factors,Business Travel FY20 - LATAM,United Airlines,Product Marketing
AT-FY20-AMER-1067,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",3/9/19,4/15/20,1597.6,Scope 3 Travel Factors,Business Travel FY20 - LATAM,Delta Airlines,LATAM Sales
AT-FY20-AMER-1068,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",3/10/19,4/15/20,1609.8,Scope 3 Travel Factors,Business Travel FY20 - ME,Delta Airlines,General COO
AT-FY20-AMER-1069,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",3/11/19,4/15/20,1622,Scope 3 Travel Factors,Business Travel FY20 - AMER,British Airways,General COO
AT-FY20-AMER-1070,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",3/12/19,4/15/20,1634.2,Scope 3 Travel Factors,Business Travel FY20 - AMER,KLM,EMEA Sales
AT-FY20-AMER-1071,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",3/13/19,4/15/20,1646.4,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,AMER Sales 
AT-FY20-AMER-1072,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",3/14/19,4/15/20,1658.6,Scope 3 Travel Factors,Business Travel FY20 - LATAM,United Airlines,EMEA Operations
AT-FY20-AMER-1073,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",3/15/19,4/15/20,1670.8,Scope 3 Travel Factors,Business Travel FY20 - LATAM,United Airlines,Product Marketing
AT-FY20-AMER-1074,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",3/16/19,4/15/20,1683,Scope 3 Travel Factors,Business Travel FY20 - ME,Delta Airlines,LATAM Sales
AT-FY20-AMER-1075,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",3/17/19,4/15/20,1695.2,Scope 3 Travel Factors,Business Travel FY20 - AMER,Delta Airlines,General COO
AT-FY20-AMER-1076,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",3/18/19,4/15/20,1707.4,Scope 3 Travel Factors,Business Travel FY20 - AMER,British Airways,General COO
AT-FY20-AMER-1077,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",3/19/19,4/15/20,1719.6,Scope 3 Travel Factors,Business Travel FY20 - AMER,KLM,EMEA Sales
AT-FY20-AMER-1078,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",3/20/19,4/15/20,1731.8,Scope 3 Travel Factors,Business Travel FY20 - LATAM,United Airlines,AMER Sales 
AT-FY20-AMER-1079,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",3/21/19,4/15/20,1744,Scope 3 Travel Factors,Business Travel FY20 - LATAM,United Airlines,EMEA Operations
AT-FY20-AMER-1080,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",3/22/19,4/15/20,1756.2,Scope 3 Travel Factors,Business Travel FY20 - ME,United Airlines,Product Marketing
AT-FY20-AMER-1081,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",3/23/19,4/15/20,1768.4,Scope 3 Travel Factors,Business Travel FY20 - AMER,Delta Airlines,LATAM Sales
AT-FY20-AMER-1082,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",3/24/19,4/15/20,1780.6,Scope 3 Travel Factors,Business Travel FY20 - AMER,Delta Airlines,General COO
AT-FY20-AMER-1083,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",3/25/19,4/15/20,1792.8,Scope 3 Travel Factors,Business Travel FY20 - AMER,British Airways,General COO
AT-FY20-AMER-1084,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",3/26/19,4/15/20,1805,Scope 3 Travel Factors,Business Travel FY20 - LATAM,KLM,EMEA Sales
AT-FY20-AMER-1085,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",3/27/19,4/15/20,1817.2,Scope 3 Travel Factors,Business Travel FY20 - LATAM,United Airlines,AMER Sales 
AT-FY20-AMER-1086,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",3/28/19,4/15/20,1829.4,Scope 3 Travel Factors,Business Travel FY20 - ME,United Airlines,EMEA Operations
AT-FY20-AMER-1087,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",3/29/19,4/15/20,1841.6,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,Product Marketing
AT-FY20-AMER-1088,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",3/30/19,4/15/20,1853.8,Scope 3 Travel Factors,Business Travel FY20 - AMER,Delta Airlines,LATAM Sales
AT-FY20-AMER-1089,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",3/31/19,4/15/20,1866,Scope 3 Travel Factors,Business Travel FY20 - AMER,Delta Airlines,General COO
AT-FY20-AMER-1090,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",4/1/19,4/15/20,1878.2,Scope 3 Travel Factors,Business Travel FY20 - LATAM,British Airways,General COO
AT-FY20-AMER-1091,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",4/2/19,4/15/20,1890.4,Scope 3 Travel Factors,Business Travel FY20 - LATAM,KLM,EMEA Sales
AT-FY20-AMER-1092,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",4/3/19,4/15/20,1902.6,Scope 3 Travel Factors,Business Travel FY20 - ME,United Airlines,AMER Sales 
AT-FY20-AMER-1093,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",4/4/19,4/15/20,1914.8,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,EMEA Operations
AT-FY20-AMER-1094,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",4/5/19,4/15/20,1927,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,Product Marketing
AT-FY20-AMER-1095,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",4/6/19,4/15/20,1939.2,Scope 3 Travel Factors,Business Travel FY20 - AMER,Delta Airlines,LATAM Sales
AT-FY20-AMER-1096,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",4/7/19,4/15/20,1951.4,Scope 3 Travel Factors,Business Travel FY20 - LATAM,Delta Airlines,General COO
AT-FY20-AMER-1097,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",4/8/19,4/15/20,1963.6,Scope 3 Travel Factors,Business Travel FY20 - LATAM,British Airways,General COO
AT-FY20-AMER-1098,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",4/9/19,4/15/20,1975.8,Scope 3 Travel Factors,Business Travel FY20 - ME,KLM,EMEA Sales
AT-FY20-AMER-1099,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",4/10/19,4/15/20,1988,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,AMER Sales 
AT-FY20-AMER-1100,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",4/11/19,4/15/20,2000.2,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,EMEA Operations
AT-FY20-AMER-1101,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",4/12/19,4/15/20,2012.4,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,Product Marketing
AT-FY20-AMER-1102,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",4/13/19,4/15/20,2024.6,Scope 3 Travel Factors,Business Travel FY20 - LATAM,Delta Airlines,LATAM Sales
AT-FY20-AMER-1103,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",4/14/19,4/15/20,2036.8,Scope 3 Travel Factors,Business Travel FY20 - LATAM,Delta Airlines,General COO
AT-FY20-AMER-1104,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",4/15/19,4/15/20,2049,Scope 3 Travel Factors,Business Travel FY20 - ME,British Airways,General COO
AT-FY20-AMER-1105,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",4/16/19,4/15/20,2061.2,Scope 3 Travel Factors,Business Travel FY20 - AMER,KLM,EMEA Sales
AT-FY20-AMER-1106,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",4/17/19,4/15/20,2073.4,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,AMER Sales 
AT-FY20-AMER-1107,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",4/18/19,4/15/20,2085.6,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,EMEA Operations
AT-FY20-AMER-1108,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",4/19/19,4/15/20,2097.8,Scope 3 Travel Factors,Business Travel FY20 - LATAM,United Airlines,Product Marketing
AT-FY20-AMER-1109,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",4/20/19,4/15/20,2110,Scope 3 Travel Factors,Business Travel FY20 - LATAM,Delta Airlines,LATAM Sales
AT-FY20-AMER-1110,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",4/21/19,4/15/20,2122.2,Scope 3 Travel Factors,Business Travel FY20 - ME,Delta Airlines,General COO
AT-FY20-AMER-1111,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",4/22/19,4/15/20,2134.4,Scope 3 Travel Factors,Business Travel FY20 - AMER,British Airways,General COO
AT-FY20-AMER-1112,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",4/23/19,4/15/20,2146.6,Scope 3 Travel Factors,Business Travel FY20 - AMER,KLM,EMEA Sales
AT-FY20-AMER-1113,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",4/24/19,4/15/20,2158.8,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,AMER Sales 
AT-FY20-AMER-1114,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",4/25/19,4/15/20,2171,Scope 3 Travel Factors,Business Travel FY20 - LATAM,United Airlines,EMEA Operations
AT-FY20-AMER-1115,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",4/26/19,4/15/20,2183.2,Scope 3 Travel Factors,Business Travel FY20 - LATAM,United Airlines,Product Marketing
AT-FY20-AMER-1116,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",4/27/19,4/15/20,2195.4,Scope 3 Travel Factors,Business Travel FY20 - ME,Delta Airlines,LATAM Sales
AT-FY20-AMER-1117,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",4/28/19,4/15/20,2207.6,Scope 3 Travel Factors,Business Travel FY20 - AMER,Delta Airlines,General COO
AT-FY20-AMER-1118,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",4/29/19,4/15/20,2219.8,Scope 3 Travel Factors,Business Travel FY20 - AMER,British Airways,General COO
AT-FY20-AMER-1119,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",4/30/19,4/15/20,2232,Scope 3 Travel Factors,Business Travel FY20 - AMER,KLM,EMEA Sales
AT-FY20-AMER-1120,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",5/1/19,4/15/20,2244.2,Scope 3 Travel Factors,Business Travel FY20 - LATAM,United Airlines,AMER Sales 
AT-FY20-AMER-1121,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",5/2/19,4/15/20,2256.4,Scope 3 Travel Factors,Business Travel FY20 - LATAM,United Airlines,EMEA Operations
AT-FY20-AMER-1122,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",5/3/19,4/15/20,2268.6,Scope 3 Travel Factors,Business Travel FY20 - ME,United Airlines,Product Marketing
AT-FY20-AMER-1123,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",5/4/19,4/15/20,2280.8,Scope 3 Travel Factors,Business Travel FY20 - AMER,Delta Airlines,LATAM Sales
AT-FY20-AMER-1124,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",5/5/19,4/15/20,2293,Scope 3 Travel Factors,Business Travel FY20 - AMER,Delta Airlines,General COO
AT-FY20-AMER-1125,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",5/6/19,4/15/20,2305.2,Scope 3 Travel Factors,Business Travel FY20 - AMER,British Airways,General COO
AT-FY20-AMER-1126,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",5/7/19,4/15/20,2317.4,Scope 3 Travel Factors,Business Travel FY20 - LATAM,KLM,EMEA Sales
AT-FY20-AMER-1127,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",5/8/19,4/15/20,2329.6,Scope 3 Travel Factors,Business Travel FY20 - LATAM,United Airlines,AMER Sales 
AT-FY20-AMER-1128,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",5/9/19,4/15/20,2341.8,Scope 3 Travel Factors,Business Travel FY20 - ME,United Airlines,EMEA Operations
AT-FY20-AMER-1129,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",5/10/19,4/15/20,2354,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,Product Marketing
AT-FY20-AMER-1130,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",5/11/19,4/15/20,2366.2,Scope 3 Travel Factors,Business Travel FY20 - AMER,Delta Airlines,LATAM Sales
AT-FY20-AMER-1131,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",5/12/19,4/15/20,2378.4,Scope 3 Travel Factors,Business Travel FY20 - AMER,Delta Airlines,General COO
AT-FY20-AMER-1132,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",5/13/19,4/15/20,2390.6,Scope 3 Travel Factors,Business Travel FY20 - LATAM,British Airways,General COO
AT-FY20-AMER-1133,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",5/14/19,4/15/20,2402.8,Scope 3 Travel Factors,Business Travel FY20 - LATAM,KLM,EMEA Sales
AT-FY20-AMER-1134,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",5/15/19,4/15/20,2415,Scope 3 Travel Factors,Business Travel FY20 - ME,United Airlines,AMER Sales 
AT-FY20-AMER-1135,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",5/16/19,4/15/20,2427.2,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,EMEA Operations
AT-FY20-AMER-1136,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",5/17/19,4/15/20,2439.4,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,Product Marketing
AT-FY20-AMER-1137,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",5/18/19,4/15/20,2451.6,Scope 3 Travel Factors,Business Travel FY20 - AMER,Delta Airlines,LATAM Sales
