Energy Use Record Name,Carbon Footprint Name,Traveler Full Name,Rental Car Company Name,Rental Car Company Code,Record Type,Carbon Inventory Date,Report Start Date,Report End Date,Cost Center,Organization Asset,Vendor Name,Expense Type,Vendor-provided emissions (tCO2e),Emission Factors - Scope 3,Distance Unit ,Trip Distance
Rental Car - FY20 - RecID 2119,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,1/21/19,1/21/19,General COO,Business Travel FY20 - SA,Avis,Rental Car,0.150472155,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2120,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,1/21/19,1/22/19,General COO,Business Travel FY20 - AMER,Avis,Rental Car,0.069208344,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2121,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,1/22/19,1/23/19,AMER Sales,Business Travel FY20 - ANZ,Avis,Rental Car,0.009559612,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2122,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,1/23/19,1/24/19,EMEA Operations,Business Travel FY20 - SA,Hertz,Rental Car,0.167144427,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2123,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,1/31/19,2/1/19,AMER Sales,Business Travel FY20 - SA,Hertz,Rental Car,0.137448468,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2124,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,2/1/19,2/2/19,EMEA Operations,Business Travel FY20 - AMER,Enterprise,Rental Car,0.158345319,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2125,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,2/2/19,2/3/19,AMER Sales,Business Travel FY20 - ANZ,Avis,Rental Car,0.163471516,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2126,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,2/3/19,2/4/19,EMEA Operations,Business Travel FY20 - SA,Avis,Rental Car,0.008920395,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2127,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,2/4/19,2/5/19,AMER Sales,Business Travel FY20 - SA,Avis,Rental Car,0.041992012,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2128,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,2/5/19,2/6/19,EMEA Operations,Business Travel FY20 - AMER,Hertz,Rental Car,0.060021279,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2129,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,2/6/19,2/7/19,Product Marketing,Business Travel FY20 - ANZ,Hertz,Rental Car,0.149383301,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2130,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,2/7/19,2/8/19,LATAM Sales,Business Travel FY20 - SA,Enterprise,Rental Car,0.020282836,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2131,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,2/8/19,2/9/19,General COO,Business Travel FY20 - SA,Avis,Rental Car,0.18716543,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2132,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,2/9/19,2/10/19,General COO,Business Travel FY20 - AMER,Avis,Rental Car,0.184605795,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2133,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,2/10/19,2/11/19,General COO,Business Travel FY20 - ANZ,Avis,Rental Car,0.207832143,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2134,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,2/11/19,2/12/19,AMER Sales,Business Travel FY20 - SA,Hertz,Rental Car,0.100006237,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2135,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,2/12/19,2/13/19,EMEA Operations,Business Travel FY20 - SA,Hertz,Rental Car,0.042158389,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2136,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,2/13/19,2/14/19,AMER Sales,Business Travel FY20 - AMER,Enterprise,Rental Car,0.150720079,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2137,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,2/14/19,2/15/19,EMEA Operations,Business Travel FY20 - SA,Avis,Rental Car,0.068316493,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2138,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,2/15/19,2/16/19,AMER Sales,Business Travel FY20 - AMER,Avis,Rental Car,0.114660641,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2139,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,2/16/19,2/17/19,EMEA Operations,Business Travel FY20 - ANZ,Avis,Rental Car,0.169315575,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2140,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,2/17/19,2/19/19,AMER Sales,Business Travel FY20 - SA,Hertz,Rental Car,0.067945943,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2141,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,2/19/19,2/20/19,EMEA Operations,Business Travel FY20 - SA,Hertz,Rental Car,0.051026522,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2142,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,2/20/19,2/21/19,Product Marketing,Business Travel FY20 - AMER,Enterprise,Rental Car,0.137429289,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2143,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,2/21/19,2/21/19,LATAM Sales,Business Travel FY20 - ANZ,Avis,Rental Car,0.197592027,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2144,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,2/21/19,2/22/19,General COO,Business Travel FY20 - SA,Avis,Rental Car,0.074912202,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2145,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,2/22/19,2/23/19,General COO,Business Travel FY20 - SA,Avis,Rental Car,0.068191175,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2146,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,2/23/19,2/24/19,General COO,Business Travel FY20 - AMER,Hertz,Rental Car,0.14482239,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2147,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,2/24/19,2/25/19,AMER Sales,Business Travel FY20 - ANZ,Hertz,Rental Car,0.061273819,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2148,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,2/25/19,2/26/19,EMEA Operations,Business Travel FY20 - AMER,Enterprise,Rental Car,0.062531961,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2149,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,2/26/19,2/27/19,AMER Sales,Business Travel FY20 - ANZ,Avis,Rental Car,0.106300818,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2150,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,2/27/19,2/28/19,EMEA Operations,Business Travel FY20 - SA,Avis,Rental Car,0.029812206,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2151,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,2/28/19,3/1/19,AMER Sales,Business Travel FY20 - SA,Avis,Rental Car,0.206791549,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2152,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,3/1/19,3/2/19,EMEA Operations,Business Travel FY20 - SA,Hertz,Rental Car,0.091782904,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2153,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,3/2/19,3/3/19,AMER Sales,Business Travel FY20 - AMER,Hertz,Rental Car,0.118094976,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2154,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,3/3/19,3/4/19,EMEA Operations,Business Travel FY20 - ANZ,Enterprise,Rental Car,0.124376911,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2155,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,3/4/19,3/5/19,Product Marketing,Business Travel FY20 - SA,Avis,Rental Car,0.152319669,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2156,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,3/5/19,3/6/19,LATAM Sales,Business Travel FY20 - SA,Avis,Rental Car,0.175414467,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2157,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,3/6/19,3/7/19,General COO,Business Travel FY20 - AMER,Avis,Rental Car,0.015744096,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2158,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,3/7/19,3/8/19,General COO,Business Travel FY20 - ANZ,Hertz,Rental Car,0.124032067,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2159,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,3/8/19,3/9/19,General COO,Business Travel FY20 - SA,Hertz,Rental Car,0.207841106,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2160,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,3/9/19,3/10/19,AMER Sales,Business Travel FY20 - SA,Enterprise,Rental Car,0.055426145,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2161,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,3/10/19,3/11/19,EMEA Operations,Business Travel FY20 - AMER,Avis,Rental Car,0.117887362,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2162,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,3/11/19,3/12/19,AMER Sales,Business Travel FY20 - ANZ,Avis,Rental Car,0.014738876,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2163,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,3/12/19,3/13/19,EMEA Operations,Business Travel FY20 - AMER,Avis,Rental Car,0.154653206,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2164,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,3/13/19,3/14/19,AMER Sales,Business Travel FY20 - ANZ,Hertz,Rental Car,0.164815911,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2165,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,3/14/19,3/15/19,EMEA Operations,Business Travel FY20 - SA,Hertz,Rental Car,0.08773924,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2166,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,3/15/19,3/16/19,AMER Sales,Business Travel FY20 - SA,Enterprise,Rental Car,0.180007229,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2167,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,3/16/19,3/17/19,EMEA Operations,Business Travel FY20 - AMER,Avis,Rental Car,0.204035805,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2168,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,3/17/19,3/19/19,Product Marketing,Business Travel FY20 - ANZ,Avis,Rental Car,0.135616806,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2169,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,3/19/19,3/20/19,LATAM Sales,Business Travel FY20 - SA,Avis,Rental Car,0.168068319,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2170,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,3/20/19,3/21/19,General COO,Business Travel FY20 - SA,Hertz,Rental Car,0.10270534,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2171,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,3/21/19,3/21/19,General COO,Business Travel FY20 - AMER,Hertz,Rental Car,0.055087989,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2172,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,3/21/19,3/22/19,General COO,Business Travel FY20 - ANZ,Enterprise,Rental Car,0.102303877,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2173,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,3/22/19,3/23/19,AMER Sales,Business Travel FY20 - SA,Avis,Rental Car,0.138305169,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2174,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,3/23/19,3/24/19,EMEA Operations,Business Travel FY20 - SA,Avis,Rental Car,0.108913057,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2175,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,3/24/19,3/25/19,AMER Sales,Business Travel FY20 - AMER,Avis,Rental Car,0.080058177,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2176,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,3/25/19,3/26/19,EMEA Operations,Business Travel FY20 - ANZ,Hertz,Rental Car,0.040168725,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2177,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,3/26/19,3/27/19,AMER Sales,Business Travel FY20 - SA,Hertz,Rental Car,0.121186633,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2178,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,3/27/19,3/28/19,EMEA Operations,Business Travel FY20 - SA,Enterprise,Rental Car,0.03035406,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2179,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,3/28/19,3/29/19,AMER Sales,Business Travel FY20 - AMER,Avis,Rental Car,0.156735871,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2180,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,3/29/19,3/30/19,EMEA Operations,Business Travel FY20 - ANZ,Avis,Rental Car,0.191428008,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2181,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,3/30/19,3/31/19,Product Marketing,Business Travel FY20 - SA,Avis,Rental Car,0.13884123,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2182,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,3/31/19,4/1/19,LATAM Sales,Business Travel FY20 - SA,Hertz,Rental Car,0.057336641,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2183,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,4/1/19,4/2/19,General COO,Business Travel FY20 - AMER,Hertz,Rental Car,0.072029719,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2184,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,4/2/19,4/3/19,General COO,Business Travel FY20 - ANZ,Enterprise,Rental Car,0.019715812,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2185,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,4/3/19,4/4/19,General COO,Business Travel FY20 - SA,Avis,Rental Car,0.131154759,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2186,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,4/4/19,4/5/19,AMER Sales,Business Travel FY20 - SA,Avis,Rental Car,0.044832667,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2187,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,4/5/19,4/6/19,EMEA Operations,Business Travel FY20 - AMER,Avis,Rental Car,0.097829724,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2188,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,4/6/19,4/7/19,AMER Sales,Business Travel FY20 - SA,Hertz,Rental Car,0.126431341,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2189,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,4/7/19,4/8/19,EMEA Operations,Business Travel FY20 - AMER,Hertz,Rental Car,0.015268753,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2190,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,4/8/19,4/9/19,AMER Sales,Business Travel FY20 - ANZ,Enterprise,Rental Car,0.080318857,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2191,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,4/9/19,4/10/19,EMEA Operations,Business Travel FY20 - SA,Avis,Rental Car,0.050835349,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2192,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,4/10/19,4/11/19,AMER Sales,Business Travel FY20 - SA,Avis,Rental Car,0.118292297,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2193,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,4/11/19,4/12/19,EMEA Operations,Business Travel FY20 - AMER,Avis,Rental Car,0.049278068,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2194,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,4/12/19,4/13/19,Product Marketing,Business Travel FY20 - ANZ,Hertz,Rental Car,0.013039017,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2195,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,4/13/19,4/14/19,LATAM Sales,Business Travel FY20 - SA,Hertz,Rental Car,0.031964287,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2196,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,4/14/19,4/15/19,General COO,Business Travel FY20 - SA,Enterprise,Rental Car,0.119163929,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2197,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,4/15/19,4/16/19,General COO,Business Travel FY20 - AMER,Avis,Rental Car,0.139035636,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2198,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,4/16/19,4/17/19,General COO,Business Travel FY20 - ANZ,Avis,Rental Car,0.154112806,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2199,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,4/17/19,4/19/19,AMER Sales,Business Travel FY20 - AMER,Avis,Rental Car,0.093001379,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2200,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,4/19/19,4/20/19,EMEA Operations,Business Travel FY20 - ANZ,Hertz,Rental Car,0.175011562,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2201,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,4/20/19,4/21/19,AMER Sales,Business Travel FY20 - SA,Hertz,Rental Car,0.062604828,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2202,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,4/21/19,4/21/19,EMEA Operations,Business Travel FY20 - SA,Enterprise,Rental Car,0.185896652,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2203,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,4/21/19,4/22/19,AMER Sales,Business Travel FY20 - SA,Avis,Rental Car,0.162342238,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2204,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,4/22/19,4/23/19,EMEA Operations,Business Travel FY20 - AMER,Avis,Rental Car,0.069498791,Rental Car - Minivan class,Miles,
